Comment,Designator,Footprint,LCSC Part #
CR1220,B3,CR2032-BS-2-1,C70376
100nF,"C10,C16",CC0805KRX7R9BB104,C49678
680uF 35V,C11,EEEFT1V681UP,C542257
10uF,C15,CL21A106KAYNNNE,C15850
47uF 16V,C32,1206X476M160NT,C172351
10uF 35V,"C31,C33,C34",GRM32ER7YA106KA12L,C97973
47uF 16V,C35,GRM32EC81C476KE15L,C162512
PMEG6030EVPX,D8,PMEG6030EVPX,C489223
2.49k,R4,0805W8F2491T5E,C21237
1.0M,R6,0805W8F1004T5E,C17514
100k,R7,0805W8F1003T5E,C17407
4.22k,R32,0805W8F4221T5E,C17665
10k,"R3,R31,R41",0805W8F1002T5E,C17414
1k,R46,0805W8F1001T5E,C17513
MAX98357A,U4,MAX98357AETE_T,C910544
LMZM23601SILR,"U5,U6",LMZM23601SILR,C2685821
RV-3028-C7,U8,RV-3028-C7_32_768KHZ_1PPM_TA_QC,C3019759
